"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,1,2,5,4,,,1,2,5,4,,3,,,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Very familiar,"Improved governance tooling, hydra sdk, transaction intent",Not at this time,"Committee work at Intersect, open source maintainers for core code, operational support for the broader ecosystem. ",Continued development of core features of governance and scalability. ,"Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Expressions of support for the initiative.,North America,,I agree,3
1,"Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,1,5,4,3,,,1,2,3,4,,5,m,,,Unsure/I don’t know,Providing feedback through surveys,1-9 hours per month,3,Very familiar,f,f,f,f,I would like to but unsure of how to join or participate,Monthly,"Granular detail; reports, audits, meeting minutes etc",Social media platforms,n,,,I agree,2
4,"End user, Content creator / educator",2 - 5 years,Advanced,1,2,3,4,,,1,2,3,4,,5,"Zk, rwa, dids, supply chains etc",,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,"Scalability, interoperability, growth",No,Ecosystem growth,The management of the budget itself,"No, and not interested or have enough time",Monthly,Both high-level and detail,All the above,Treasury management worries me. ,Europe,,I agree,5
5,"On-chain governance (DRep, ICC, SPO)",2 - 5 years,Advanced,5,3,1,4,,,5,2,1,3,,4,Gaming,,,5% - 10%,All of the above,1-9 hours per month,5,Not familiar,Marketing,Dexes,Marketing,Promoting usefull real world apps,"No, but would like to",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,All good,Europe,,I agree,2
2,End user,2 - 5 years,Intermediate,5,3,1,4,,,5,3,1,4,,2,Voting ability on Daedalus,,,Less than 5%,Providing feedback through surveys,Unsure/I don’t know,5,Neutral,"1. Visibility on DReps side by side, easy to visualise whatvthey are supporting, what they are not supporting, anf how much delegation power each of them has","I have no visibility on what is funded and wgat is not, maybe fix that.",Same answer,See above. Translarancy to enable informed decision making wheb chosing a DRep,I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,All the above,Eho are the DRep and how can i delegate to them via Daedalus,Middle East,,I agree,2
5,"End user, Content creator / educator, On-chain governance (DRep, ICC, SPO)",Over 5 years,Expert,1,2,4,3,,,1,2,3,4,,5,-,,,11% - 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,I have not engaged,"Scaling, marketing, dapps",-,-,Scaling,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates",-,Asia,,I agree,5
3,End user,2 - 5 years,Intermediate,1,2,5,4,,,2,1,5,4,,3,N/a,,,Less than 5%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,I have not engaged,Anyone building core infra:aiken/txpipe etc,Im sure whatever the marketing budget will be I will think its too high,N/a,N/a,"no, and undecided",Annually,Both high-level and detail,All the above,I would like to know more about it,North America,,I agree,3
5,Project Advisor,Over 5 years,Expert,1,3,2,4,,,2,3,1,4,,5,CNT Tier 1 CEX integration,,,More than 15%,Providing feedback through surveys,1-9 hours per month,4,Not familiar,Stable Coin and Marketing,I dont know.,Education/ Onboarding,Stable Coin integration,"No, but would like to",Quarterly,Both high-level and detail,All the above,No,North America,,I agree,5
5,"Developer, Builder (part of DApp or project), Investor ",Over 5 years,Expert,2,3,4,5,,,2,3,4,5,,1,USDA,,,11% - 15%,All of the above,Unsure/I don’t know,5,Somewhat familiar,"Treasury for commercialization on Cardano
Treasury for USDA
Catalyst funds for commercialization on Cardano ",,"Treasury for commercialization on Cardano
Treasury for USDA
Catalyst funds for commercialization on Cardano ",Zero commercialization and RoI on treasury and catalyst funds ,"Yes, several",Only when major changes occur,Both high-level and detail,Email newsletters,,Africa,,I agree,1
5,End user,2 - 5 years,Advanced,1,3,2,5,,,1,3,2,5,,4,,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,Leios,No,No,"User Experience, Adoption",I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",No,Europe,,I agree,4
2,End user,2 - 5 years,Intermediate,1,2,5,3,,,1,2,5,4,,3,Quantum resistance should probably be an active research item ,,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Cardano 2.0, quantum resistance research, developer tooling","It's hard to say, for me. I didn't have a lot of insight into what is being spent and the results.","Again, difficult to say without more information and research on my part.","I think sustainability is a major concern at this time, less so if/when the price rises.","No, and not interested or have enough time",Annually,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Webinars or live streams","I'm interested in learning more about the whole process. I know it is early in the governance journey, but it would be nice to see narrative videos giving a broad outline of the different parts of government and their functions and how they interact.",North America,,I agree,4
2,End user,2 - 5 years,Intermediate,4,3,1,2,,,4,3,1,2,,5,"Trust, cashback",,,More than 15%,Providing feedback through surveys,1-9 hours per month,5,I have not engaged,Projects that brings in revenue from external sources,"Events, education",Smaller projects that wanted to be funded for their real businesses,Overspending on similar products,I would like to but unsure of how to join or participate,Quarterly,Both high-level and detail,Email newsletters,Plan process should be based on revenues towards the treasury. ,Asia,,I agree,5
4,"Builder (part of DApp or project), End user, Content creator / educator, Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,5,3,1,2,,,4,3,1,2,,5,"https://tempo.vote/ for on-chain governance. Intersect election candidates dashboard (with relevant info and motivation as in Tempo's app) should be integrated for future committee elections.

Development: Finance development by companies like Aiken, FluidTokens, TxPipe, AnastasiaLabs, HarmonicLabs, DcSpark, SundaeLabs, among many other dev teams & individuals. Utilize Retroactive funding + grant comittes on missions as Optimism, as opposed to Catalyst system which is more chaotic. Good report about this in here https://rebrand.ly/Grant-Report_StormPartnersXCatalyst

R&D: Not an expert on the subject, but I think IOG proved big success and coordination, and they deserve to be part of future R&D efforts, but alongisde new players coming form different cardano or wide crypto projects.

Innovation & grants: Not sure what to do here. Catalyst is cool, but if all money must come from treasury would be a huge burden and treasury will deplete in 5 years or so. Maybe finding a solution of 10-25M per fund + deploy some capital through VC or commercial arms allocation (as COTI or NMKR did in the past) with some equity involved. Or else, allocate RFP (retroactive funding programs) on Catalyst with Development & Marketing budgets onto Catalyst, as mentioned in the report above.

Marketing & ecosystem growth: I'd highly focus on education + video content. Documentation is also important, and the community is doing a good job around this. But high-quality education is much needed for people to see Cardano's value proposition.
I think to get adoption we need to embrace viral content on social media, and make learning interesting by explaining complex, important concepts (liquid staking, eutxo determinism, treasury system, on-chain governance, etc) in a simple easy to understand manner.
Marketing for me is important, and will definitely allocate some percentage of the budget, but no more than 10%, as there's other priorities, for example onboarding big projects that will allow the community to do the marketing on itself, or Ouroboros Leios & Peras going on development and mainnet, or Hydra tooling and finalization for mass adoption, or on-chain governance and wallets being as easy and smooth as possible for normies. All this, will allow Cardano to be marketed a lot easier in 2-5 years time than today.",,,5% - 10%,"All of the above, I think most of the people out there will take their decisions based on what their preferred DRep/Content creator/SMEs think. So internal dicussions and workshop are essential for the core contributors, but we also need to focus on curating that content and discussions into valuable insights and easy-to-understand rationale for why we think X or Y is the correct solution for a certain problem (e.g. in this case, why we believe R&D should be prioritized over marketing in the first 2 years, or the opposite if somebody believes so). I think this is the way to increase community participation & engagement on complex topics like an annual budget for Cardano. This job should be done by DReps and/or Intersect working groups, and some compensation must be put in place in order to get the best quality-content out there.",Unsure/I don’t know,5,Somewhat familiar,"Support and enhance https://tempo.vote/ app. Improve UX, add seedless registration, multiple-wallet voting stake, etc. 

Scaling: Ouroboros Leios paper is already published and reviewed, and it should be a top priority for Cardano community in my opinion. Hydra implementations also would be ideal to focus on.

Education: Develop educational content in a structured way. A lot of people want to learn and get involved in Cardano, but information is scattered around and incomplete or difficult to follow. I'd like to see a place where clear career paths can be taken, and a newbie could come and go from not knowing about programming, cryptography and blockchain, to being an expert on Aiken for example. Or a path for innovators and entrepreneurs to easy understand Catalyst processes, or how to raise funding for a web3 product. I'm thinking of a Platzi (https://platzi.com/) but Cardano and web3 related.","I'm not sure of which areas exists as of right now, apart Catalyst. I'd diminish the funding to around 25M per fund for now, or at least I'll partially redesign the system with a RFP initiative, focusing the innovation in key-development areas determined by SMEs and the Cardano community as a whole (e.g Scaling solutions, Wallet UX improvements, etc). Combine current catalyst system with a more expert-led approach as Optimism does.
","Again, I'm not sure how Cardano's treasury is being managed for other uses apart from Catalyst funding (and intersect funding?), so I don't have much to add here. Maybe more efforts into showcasing Cardano's treasury management must be put into place.","Long-term sustainability for sure. We know that most of the treasury's revenue comes from monetary expansion, and transaction fees are yet a pretty small portion of it. We cannot assume that transaction fees alone will allow us to self-sustain 5 years from now. If we want to keep ADA capped at 45B, we need to have a conservative and wise spending of treasury resources, specially during a moment where ADA is valued at .3 cents, and +80% down from ATH. Otherwise, if we spend like there's no tomorrow, treasury will get depleted in 5-15 years, and we'll be forced to change our core vision of sound money, and transform ADA into an inflationary asset. This may not be the end of the world, and a conservative 1-2% inflationary currency that will allow to fund Cardano's future may not be the worst idea, but if the community doesn't want this, then conservative spending must be considered.","No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Social media platforms, Community forums, All the above","Focus on giving rationale to the common mortals as to why decisions are being made the way they are. Showcase the visualizer of Cardano treasury reserve spending. I've spend 15 minutes searching for it on X and Forums and couldn't find any information on it, and it's such an insightful tool for people to visualize and make an idea of how much spending they'd like to do on an annual basis, and the consequences of it. This kind of things will help the low-level users to understand the trade-offs of their decisions, and make a more informed decision.","I live in Europe, although I'm planning to go back to Argentina (where I was born) for a couple months, in order to set the foundations of the project I've been working on https://academiacardano.com/).",,I agree,4
